GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
coverage-report,default,StringCases,7,25,1,5,2,8,2,3,1,1
coverage-report,default,FloatCases,11,42,2,10,3,12,3,5,1,1
coverage-report,default,LongCases,6,23,1,5,2,7,2,3,1,1
coverage-report,default,BooleanCases,6,9,1,1,2,4,2,1,1,1
coverage-report,default,Shifting2,3,21,1,5,0,6,2,4,1,2
coverage-report,default,Shifting3,3,22,0,6,0,6,1,5,1,2
coverage-report,default,Shifting,4,20,1,5,1,6,2,4,1,2
coverage-report,default,SideEffects,3,18,0,2,1,7,1,3,1,2
coverage-report,default,Double2Long,8,41,2,4,1,11,3,5,1,4
coverage-report,default,IntegerCases,6,19,1,5,2,7,2,3,1,1
coverage-report,default,StartsWith,5,38,2,4,1,11,2,5,0,4
coverage-report,default,List2,10,89,2,12,1,21,3,8,1,3
coverage-report,default,DeadCode,7,17,2,2,2,6,3,1,1,1
coverage-report,default,Utils_synthesis,3,9,0,2,1,3,1,3,1,2
coverage-report,default,MultiThreading,6,36,0,0,3,10,1,3,1,3
coverage-report,default,Utils_nondet,3,2,0,0,1,1,1,1,1,1
coverage-report,default,LinkedListEntry,0,3,0,0,0,1,0,1,0,1
coverage-report,default,Radians,3,21,0,2,0,7,1,3,1,2
coverage-report,default,ExceptionHandling,7,12,0,0,3,5,1,1,1,1
coverage-report,default,Recursion,3,18,0,4,1,7,1,4,1,2
coverage-report,default,InfiniteLoop,0,13,0,2,0,7,0,2,0,1
coverage-report,default,LinkedList,55,33,6,4,12,10,7,4,4,2
coverage-report,default,Addition01,17,55,2,14,1,17,3,9,1,3
coverage-report,default,BoundCheck100,9,29,2,8,2,12,3,6,1,3
coverage-report,default,OverapproximationString01,6,25,1,1,3,7,1,4,0,4
coverage-report,default,BoundCheck200,9,29,2,8,2,12,3,6,1,3
coverage-report,default,DoubleCases,11,42,2,10,3,12,3,5,1,1
coverage-report,default,FloatClass,3,24,1,3,0,5,2,3,1,2
coverage-report,default,BoundCheck30,9,29,2,8,2,12,3,6,1,3
coverage-report,tools.aqua.concolic,Verifier,18,26,0,0,5,7,5,7,5,7
